tweet_id,favorites,retweets
679047485189439488,2336,715
679062614270468097,17697,8692
679111216690831360,6176,2706
679132435750195208,3079,1227
679148763231985668,2876,1093
679158373988876288,22262,8573
679462823135686656,32939,19941
679475951516934144,2172,674
679503373272485890,3265,1560
679511351870550016,3505,1343
679527802031484928,2750,763
679530280114372609,4951,2198
679722016581222400,1721,497
679729593985699840,2250,868
679736210798047232,2171,839
679777920601223168,3202,1182
679828447187857408,37666,14880
679844490799091713,2463,806
679854723806179328,2973,1304
679862121895714818,2555,658
679877062409191424,2051,684
680070545539371008,2680,929
680085611152338944,13295,9479
680100725817409536,3715,1448
680115823365742593,2820,963
680130881361686529,2373,1007
680145970311643136,3764,1852
680161097740095489,2417,780
680176173301628928,4061,1662
680191257256136705,2234,534
680206703334408192,2954,1251
680221482581123072,1515,306
680440374763077632,1512,535
680473011644985345,2652,791
680494726643068929,1787,510
680497766108381184,4401,2018
680583894916304897,3770,1428
680609293079592961,2742,754
680798457301471234,2974,1107
680801747103793152,2461,875
680836378243002368,3603,1407
680889648562991104,1837,386
680913438424612864,2496,657
680934982542561280,2160,466
680940246314430465,3349,1120
680959110691590145,4738,2123
680970795137544192,2524,709
681193455364796417,3864,1575
681231109724700672,2500,514
681242418453299201,1560,572
681261549936340994,1516,290
681281657291280384,3343,1170
681297372102656000,3340,1016
681302363064414209,4105,1938
681320187870711809,2763,799
681339448655802368,9685,4312
681523177663676416,14918,6163
681579835668455424,3692,1379
681610798867845120,1989,504
681654059175129088,2736,985
681679526984871937,1840,478
681694085539872773,13306,4302
681891461017812993,2566,877
681981167097122816,2913,1094
682003177596559360,3281,1630
682032003584274432,6865,2136
682047327939461121,3340,1023
682059653698686977,5160,1791
682242692827447297,3393,1252
682259524040966145,4341,1284
682303737705140231,3202,1063
682389078323662849,1732,495
682393905736888321,2331,727
682406705142087680,7914,1869
682429480204398592,3583,1239
682638830361513985,2141,642
682662431982772225,3175,1148
682697186228989953,1368,380
682750546109968385,1587,463
682788441537560576,2573,1185
682962037429899265,38497,17704
683030066213818368,2240,772
683078886620553216,2066,598
683098815881154561,2256,701
683111407806746624,3532,966
683142553609318400,3009,1105
683357973142474752,3061,997
683391852557561860,7942,2526
683449695444799489,4063,1709
683462770029932544,2527,711
683481228088049664,2752,1056
683498322573824003,3305,1023
683742671509258241,6775,3522
683773439333797890,3485,1440
683828599284170753,2924,1123
683834909291606017,2731,1179
683849932751646720,2730,1040
683852578183077888,2012,371
683857920510050305,3967,1186
684097758874210310,4281,1526
684122891630342144,2079,501
684177701129875456,2105,713
684188786104872960,3625,1249
684195085588783105,1996,549
684200372118904832,2252,1091
684222868335505415,3995,1462
684225744407494656,1288,226
684241637099323392,8499,3515
684460069371654144,2068,589
684481074559381504,4044,1240
684538444857667585,2760,1010
684567543613382656,3136,1305
684594889858887680,9307,3746
684800227459624960,2833,1058
684880619965411328,2189,871
684902183876321280,1955,562
684914660081053696,3661,1557
684926975086034944,3647,493
684940049151070208,3352,1106
684959798585110529,7097,3324
685169283572338688,4264,1508
685198997565345792,2431,704
685268753634967552,3226,1277
685307451701334016,2157,467
685315239903100929,3492,1146
685321586178670592,2761,680
685325112850124800,9889,4228
685532292383666176,3160,1221
685547936038666240,34371,16643
685641971164143616,3059,830
685663452032069632,3394,1551
685667379192414208,2441,607
685906723014619143,7833,3091
685943807276412928,1694,635
685973236358713344,2204,556
686003207160610816,1901,676
686007916130873345,2592,449
686034024800862208,3249,1236
686050296934563840,2299,773
686358356425093120,2291,720
686377065986265092,2313,596
686386521809772549,3398,929
686606069955735556,1976,578
686618349602762752,3847,1446
686683045143953408,2930,850
686730991906516992,4327,1272
686749460672679938,3620,1544
686947101016735744,8987,3373
687096057537363968,2344,640
687102708889812993,2438,1048
687109925361856513,6062,2611
687124485711986689,2259,532
687127927494963200,5686,2427
687312378585812992,4543,2014
687317306314240000,20934,9688
687460506001633280,2129,573
687476254459715584,2060,563
687480748861947905,1665,256
687494652870668288,1987,608
687664829264453632,2015,539
687704180304273409,2545,884
687807801670897665,2500,743
687818504314159109,2607,1007
687826841265172480,2845,1194
688064179421470721,1805,381
688116655151435777,2946,825
688179443353796608,2202,619
688211956440801280,2323,879
688385280030670848,9669,4716
688519176466644993,2413,779
688547210804498433,2725,744
688789766343622656,2316,699
688804835492233216,1005,205
688828561667567616,1436,394
688894073864884227,2335,737
688898160958271489,2193,837
688908934925697024,2201,822
688916208532455424,2854,924
689143371370250240,2105,541
689154315265683456,3194,1061
689275259254616065,1208,260
689280876073582592,2075,755
689283819090870273,3424,1167
689289219123089408,2349,995
689517482558820352,3542,1517
689557536375177216,2131,485
689599056876867584,12113,5861
689623661272240129,2322,680
689659372465688576,10793,4102
689661964914655233,3335,986
689835978131935233,2253,797
689877686181715968,3150,1251
689905486972461056,2528,733
689977555533848577,1427,473
689999384604450816,1487,396
690005060500217858,3831,1787
690015576308211712,2619,785
690021994562220032,2904,1099
690248561355657216,1751,436
690360449368465409,2754,945
690374419777196032,3401,909
690400367696297985,1953,479
690597161306841088,2045,638
690649993829576704,1363,295
690690673629138944,2423,846
690728923253055490,2264,547
690735892932222976,3946,1351
